Index,Tournament,Team,Opponent,pointsscored,pointslost,diff,date
1,Queen City Tune Up 2024,Vermont,South Carolina,15,3,12,2024-02-11
2,Queen City Tune Up 2024,Vermont,William & Mary,15,1,14,2024-02-11
3,Queen City Tune Up 2024,Vermont,Virginia,15,2,13,2024-02-11
4,Queen City Tune Up 2024,Vermont,Wisconsin,15,5,10,2024-02-11
5,Queen City Tune Up 2024,Vermont,Georgia,11,5,6,2024-02-11
6,Queen City Tune Up 2024,Vermont,Carleton College,11,15,-4,2024-02-11
7,Queen City Tune Up 2024,Vermont,Tufts,15,11,4,2024-02-11
8,Stanford Invite 2024,Vermont,California-Davis,12,3,9,2024-03-03
9,Stanford Invite 2024,Vermont,California-Santa Barbara,11,8,3,2024-03-03
10,Stanford Invite 2024,Vermont,Pittsburgh,10,2,8,2024-03-03
11,Stanford Invite 2024,Vermont,California-San Diego,10,7,3,2024-03-03
12,Stanford Invite 2024,Vermont,Stanford,10,7,3,2024-03-03
13,Stanford Invite 2024,Vermont,British Columbia,13,12,1,2024-03-03
14,East Coast Invite 2024,Vermont,Cornell,15,3,12,2024-03-31
15,East Coast Invite 2024,Vermont,Ohio,15,4,11,2024-03-31
16,East Coast Invite 2024,Vermont,Pennsylvania,15,9,6,2024-03-31
17,East Coast Invite 2024,Vermont,North Carolina,15,11,4,2024-03-31
18,East Coast Invite 2024,Vermont,Wisconsin,15,5,10,2024-03-31
19,East Coast Invite 2024,Vermont,Northeastern,15,3,12,2024-03-31
20,East Coast Invite 2024,Vermont,North Carolina,12,10,2,2024-03-31
21,Greater New England D-I College Women's Conferences,Vermont,Maine,13,0,13,2024-04-14
22,Greater New England D-I College Women's Conferences,Vermont,Rhode Island,13,1,12,2024-04-14
23,Greater New England D-I College Women's Conferences,Vermont,Brown,12,6,6,2024-04-14
24,New England D-I College Women's Regionals,Vermont,Massachusetts,15,3,12,2024-05-05
25,New England D-I College Women's Regionals,Vermont,Rhode Island,15,3,12,2024-05-05
26,New England D-I College Women's Regionals,Vermont,Brown,15,5,10,2024-05-05
27,New England D-I College Women's Regionals,Vermont,Tufts,15,11,4,2024-05-05
28,2024 USA Ultimate D-I College Championships,Vermont,Georgia,15,6,9,2024-05-27
29,2024 USA Ultimate D-I College Championships,Vermont,Colorado,15,8,7,2024-05-27
30,2024 USA Ultimate D-I College Championships,Vermont,Western Washington,15,4,11,2024-05-27
31,2024 USA Ultimate D-I College Championships,Vermont,Michigan,15,8,7,2024-05-27
32,2024 USA Ultimate D-I College Championships,Vermont,British Columbia,12,10,2,2024-05-27
33,2024 USA Ultimate D-I College Championships,Vermont,Stanford,13,14,-1,2024-05-27
1,Santa Barbara Invite 2024,Carleton,California-Davis,15,6,9,2024-01-28
2,Santa Barbara Invite 2024,Carleton,Cal Poly-SLO,15,4,11,2024-01-28
3,Santa Barbara Invite 2024,Carleton,Washington,14,9,5,2024-01-28
4,Santa Barbara Invite 2024,Carleton,California-Santa Cruz,15,10,5,2024-01-28
5,Santa Barbara Invite 2024,Carleton,British Columbia,12,13,-1,2024-01-28
6,Santa Barbara Invite 2024,Carleton,Stanford,12,8,4,2024-01-28
7,Queen City Tune Up 2024,Carleton,Notre Dame,15,6,9,2024-02-11
8,Queen City Tune Up 2024,Carleton,Appalachian State,15,1,14,2024-02-11
9,Queen City Tune Up 2024,Carleton,Pittsburgh,13,5,8,2024-02-11
10,Queen City Tune Up 2024,Carleton,Washington University,15,0,15,2024-02-11
11,Queen City Tune Up 2024,Carleton,Michigan,11,5,6,2024-02-11
12,Queen City Tune Up 2024,Carleton,Vermont,15,11,4,2024-02-11
13,Queen City Tune Up 2024,Carleton,North Carolina,11,15,-4,2024-02-11
14,NW Challenge 2024,Carleton,Whitman,13,2,11,2024-03-17
15,NW Challenge 2024,Carleton,Colorado,12,13,-1,2024-03-17
16,NW Challenge 2024,Carleton,California,13,7,6,2024-03-17
17,NW Challenge 2024,Carleton,Oregon,13,6,7,2024-03-17
18,NW Challenge 2024,Carleton,North Carolina,13,12,1,2024-03-17
19,NW Challenge 2024,Carleton,British Columbia,8,13,-5,2024-03-17
20,Western North Central D-I College Women's Conferences,Carleton,Minnesota [B],13,0,13,2024-04-14
21,Western North Central D-I College Women's Conferences,Carleton,Iowa,13,0,13,2024-04-14
22,Western North Central D-I College Women's Conferences,Carleton,Minnesota,13,2,11,2024-04-14
23,North Central D-I College Women's Regionals,Carleton,Iowa,15,1,14,2024-04-28
24,North Central D-I College Women's Regionals,Carleton,Iowa State,15,2,13,2024-04-28
25,North Central D-I College Women's Regionals,Carleton,Minnesota,15,6,9,2024-04-28
26,North Central D-I College Women's Regionals,Carleton,Wisconsin,15,4,11,2024-04-28
27,2024 USA Ultimate D-I College Championships,Carleton,Stanford,13,14,-1,2024-05-27
28,2024 USA Ultimate D-I College Championships,Carleton,Utah,15,6,9,2024-05-27
29,2024 USA Ultimate D-I College Championships,Carleton,Pennsylvania,15,7,8,2024-05-27
30,2024 USA Ultimate D-I College Championships,Carleton,Washington,15,11,4,2024-05-27
31,2024 USA Ultimate D-I College Championships,Carleton,Michigan,11,8,3,2024-05-27
32,2024 USA Ultimate D-I College Championships,Carleton,North Carolina,10,11,-1,2024-05-27
1,Santa Barbara Invite 2024,British Columbia,California,15,1,14,2024-01-28
2,Santa Barbara Invite 2024,British Columbia,Utah,15,4,11,2024-01-28
3,Santa Barbara Invite 2024,British Columbia,California-San Diego,15,4,11,2024-01-28
4,Santa Barbara Invite 2024,British Columbia,Victoria,15,3,12,2024-01-28
5,Santa Barbara Invite 2024,British Columbia,Carleton College,13,12,1,2024-01-28
6,Santa Barbara Invite 2024,British Columbia,Oregon,15,12,3,2024-01-28
7,Stanford Invite 2024,British Columbia,Texas,13,4,9,2024-03-03
8,Stanford Invite 2024,British Columbia,UCLA,13,1,12,2024-03-03
9,Stanford Invite 2024,British Columbia,California-San Diego,11,6,5,2024-03-03
10,Stanford Invite 2024,British Columbia,California-Santa Barbara,12,8,4,2024-03-03
11,Stanford Invite 2024,British Columbia,Colorado,11,8,3,2024-03-03
12,Stanford Invite 2024,British Columbia,Vermont,12,13,-1,2024-03-03
13,NW Challenge 2024,British Columbia,Northeastern,13,4,9,2024-03-17
14,NW Challenge 2024,British Columbia,Western Washington,13,0,13,2024-03-17
15,NW Challenge 2024,British Columbia,Washington,13,7,6,2024-03-17
16,NW Challenge 2024,British Columbia,Colorado,13,6,7,2024-03-17
17,NW Challenge 2024,British Columbia,Carleton College,13,8,5,2024-03-17
18,Cascadia D-I College Women's Conferences,British Columbia,Victoria,15,5,10,2024-04-14
19,Cascadia D-I College Women's Conferences,British Columbia,Western Washington,15,5,10,2024-04-14
20,Cascadia D-I College Women's Conferences,British Columbia,Washington,15,5,10,2024-04-14
21,Cascadia D-I College Women's Conferences,British Columbia,Oregon,15,11,4,2024-04-14
22,Northwest D-I College Women's Regionals,British Columbia,Western Washington,11,13,-2,2024-05-05
23,Northwest D-I College Women's Regionals,British Columbia,Utah,13,0,13,2024-05-05
24,Northwest D-I College Women's Regionals,British Columbia,Victoria,13,2,11,2024-05-05
25,Northwest D-I College Women's Regionals,British Columbia,Washington,13,7,6,2024-05-05
26,Northwest D-I College Women's Regionals,British Columbia,Oregon,13,8,5,2024-05-05
27,2024 USA Ultimate D-I College Championships,British Columbia,Tufts,14,15,-1,2024-05-27
28,2024 USA Ultimate D-I College Championships,British Columbia,Colorado State,15,9,6,2024-05-27
29,2024 USA Ultimate D-I College Championships,British Columbia,California-San Diego,15,9,6,2024-05-27
30,2024 USA Ultimate D-I College Championships,British Columbia,Victoria,15,4,11,2024-05-27
31,2024 USA Ultimate D-I College Championships,British Columbia,California-Santa Barbara,11,9,2,2024-05-27
32,2024 USA Ultimate D-I College Championships,British Columbia,Vermont,10,12,-2,2024-05-27
