Rank,Team,PowerRating,Division,Wins,Losses,Date
1,Carleton,2342,Division I,11,2,2024-03-12
2,British Columbia,2342,Division I,11,1,2024-03-12
3,Vermont,2313,Division I,12,1,2024-03-12
4,North Carolina,2276,Division I,14,0,2024-03-12
5,Oregon,2184,Division I,13,1,2024-03-12
6,Stanford,2105,Division I,14,6,2024-03-12
7,Tufts,2086,Division I,12,2,2024-03-12
8,California-Santa Barbara,1962,Division I,16,7,2024-03-12
9,Colorado,1952,Division I,11,4,2024-03-12
10,Michigan,1910,Division I,9,4,2024-03-12
11,Washington,1896,Division I,9,4,2024-03-12
12,Brigham Young,1823,Division I,5,3,2024-03-12
13,Georgia,1759,Division I,7,6,2024-03-12
14,Pennsylvania,1733,Division I,8,6,2024-03-12
15,Notre Dame,1728,Division I,7,6,2024-03-12
16,California-Santa Cruz,1717,Division I,6,8,2024-03-12
17,California-San Diego,1701,Division I,10,11,2024-03-12
18,Ohio State,1699,Division I,15,5,2024-03-12
19,Western Washington,1694,Division I,3,5,2024-03-12
20,Victoria,1679,Division I,5,7,2024-03-12
21,Colorado State,1608,Division I,3,5,2024-03-12
22,Northeastern,1606,Division I,4,2,2024-03-12
23,Whitman,1596,Division III,6,1,2024-03-12
24,North Carolina State,1576,Division I,8,5,2024-03-12
25,Pittsburgh,1574,Division I,10,10,2024-03-12
26,Cal Poly-SLO,1554,Division I,13,11,2024-03-12
27,California-Davis,1544,Division I,8,12,2024-03-12
28,Texas-Dallas,1538,Division I,7,0,2024-03-12
29,Utah,1467,Division I,6,9,2024-03-12
30,Portland,1465,Division III,13,4,2024-03-12
31,Washington University,1448,Division I,10,3,2024-03-12
32,UCLA,1434,Division I,7,12,2024-03-12
33,Carleton,1434,Division III,8,2,2024-03-12
34,Ohio,1409,Division I,10,3,2024-03-12
35,Ithaca,1405,Division III,5,0,2024-03-12
36,Colorado College,1397,Division III,10,3,2024-03-12
37,California,1393,Division I,6,14,2024-03-12
38,Wisconsin,1392,Division I,2,4,2024-03-12
39,South Carolina,1392,Division I,7,6,2024-03-12
40,Central Florida,1383,Division I,13,0,2024-03-12
41,Haverford/Bryn Mawr,1378,Division III,7,0,2024-03-12
42,Minnesota,1371,Division I,3,3,2024-03-12
43,Virginia,1360,Division I,9,10,2024-03-12
44,Brown,1347,Division I,4,2,2024-03-12
45,Union (Tennessee),1322,Division III,12,2,2024-03-12
46,Yale,1316,Division I,3,4,2024-03-12
47,Cornell,1283,Division I,6,0,2024-03-12
48,SUNY-Binghamton,1265,Division I,2,5,2024-03-12
49,Alabama-Huntsville,1255,Division I,12,2,2024-03-12
50,Purdue,1230,Division I,3,3,2024-03-12
51,Georgia Tech,1220,Division I,5,2,2024-03-12
52,American,1218,Division I,9,2,2024-03-12
53,Georgetown,1203,Division I,11,2,2024-03-12
54,St Olaf,1203,Division III,5,2,2024-03-12
55,Southern California,1178,Division I,4,7,2024-03-12
56,Texas,1173,Division I,5,7,2024-03-12
57,Wellesley,1172,Division III,6,2,2024-03-12
58,Connecticut College,1156,Division III,3,2,2024-03-12
59,William & Mary,1155,Division I,4,7,2024-03-12
60,Tennessee,1154,Division I,9,3,2024-03-12
61,Penn State,1148,Division I,7,5,2024-03-12
62,Columbia,1140,Division I,7,5,2024-03-12
63,Williams,1138,Division III,5,1,2024-03-12
64,Chicago,1135,Division I,1,5,2024-03-12
65,Carnegie Mellon,1134,Division I,1,5,2024-03-12
66,Cincinnati,1117,Division I,10,3,2024-03-12
67,Utah State,1106,Division I,7,0,2024-03-12
68,Grand Canyon,1076,Division I,4,2,2024-03-12
69,California-San Diego B,1059,Developmental,10,8,2024-03-12
70,Northwestern,1050,Division I,4,7,2024-03-12
71,James Madison,1040,Division I,7,7,2024-03-12
72,Macalester,1033,Division III,5,1,2024-03-12
73,Boston University,1017,Division I,3,3,2024-03-12
74,Massachusetts,1016,Division I,3,3,2024-03-12
75,Missouri,1016,Division I,8,4,2024-03-12
76,Lewis & Clark,1013,Division III,6,7,2024-03-12
77,Trinity,1009,Division III,9,4,2024-03-12
78,Arizona,1008,Division I,10,3,2024-03-12
79,Connecticut,1001,Division I,3,3,2024-03-12
80,West Chester,1000,Division I,6,2,2024-03-12
81,San Diego State,993,Division I,10,3,2024-03-12
82,Arkansas,970,Division I,4,3,2024-03-12
83,Duke,966,Division I,5,8,2024-03-12
84,Northern Arizona,960,Division I,3,3,2024-03-12
85,Nevada-Reno,955,Division I,10,3,2024-03-12
86,California-Irvine,953,Division I,7,4,2024-03-12
87,Davenport,950,Division III,4,1,2024-03-12
88,Harvard,950,Division I,2,4,2024-03-12
89,Santa Clara,950,Division I,7,2,2024-03-12
